question,options,correct_answer,category,difficulty,fun_fact,source,grade_range,active
"Which war was fought between the Northern and Southern states of the USA?","[""The Revolutionary War"",""The Civil War"",""World War I"",""The Cold War""]",1,History,easy,"The American Civil War (1861–1865) resulted in the abolition of slavery and preservation of the Union.",Library of Congress,Y6-Y11,true
"In which city was the Eiffel Tower constructed?","[""Rome"",""Berlin"",""Madrid"",""Paris""]",3,History,easy,"The Eiffel Tower was built by Gustave Eiffel as the entrance arch for the 1889 World's Fair.",Paris Tourism Office,Y6-Y11,true
"In which year did World War I begin?","[""1910"",""1912"",""1914"",""1916""]",2,History,medium,"WWI began after the assassination of Archduke Franz Ferdinand of Austria in Sarajevo.",BBC History – World War One,Y6-Y11,true
"What was the name of the global economic crisis that began in 1929?","[""The Great Recession"",""The Great Depression"",""Black Tuesday Crash"",""The Wall Street Crisis""]",1,History,medium,"The Great Depression led to mass unemployment and lasted throughout the 1930s.",History.com – Great Depression,Y6-Y11,true
"Who was the leader of the Soviet Union during World War II?","[""Lenin"",""Khrushchev"",""Stalin"",""Trotsky""]",2,History,medium,"Stalin led the Soviet Union from 1924 until his death in 1953, spanning WWII and early Cold War.",BBC History – Stalin,Y6-Y11,true
"In which year did the Berlin Wall fall?","[""1985"",""1987"",""1989"",""1991""]",2,History,medium,"The Berlin Wall fell on 9 November 1989, leading to German reunification in 1990.",BBC History – Berlin Wall,Y6-Y11,true
"Who led India's independence movement against British rule?","[""Jawaharlal Nehru"",""Rabindranath Tagore"",""Mahatma Gandhi"",""Bhagat Singh""]",2,History,medium,"Gandhi's non-violent civil disobedience movement inspired independence movements worldwide.",National Gandhi Museum,Y6-Y11,true
"What was the name of Japan's surprise attack on the US naval base in 1941?","[""Battle of Midway"",""Attack on Pearl Harbor"",""Battle of Guadalcanal"",""Invasion of Philippines""]",1,History,medium,"The attack on Pearl Harbor on 7 December 1941 brought the United States into World War II.",National WWII Museum,Y6-Y11,true
"Which empire is considered the largest contiguous land empire in history?","[""Roman Empire"",""British Empire"",""Mongol Empire"",""Ottoman Empire""]",2,History,medium,"At its peak in 1279, the Mongol Empire covered about 24 million square kilometres.",National Geographic – Mongol Empire,Y6-Y11,true
"In which year did Nelson Mandela become President of South Africa?","[""1990"",""1992"",""1994"",""1996""]",2,History,medium,"Mandela became South Africa's first democratically elected president after 27 years in prison.",Nobel Prize – Nelson Mandela,Y6-Y11,true
"What document declared the independence of the USA in 1776?","[""The Magna Carta"",""The Constitution"",""The Declaration of Independence"",""The Bill of Rights""]",2,History,medium,"Thomas Jefferson drafted most of the Declaration, which was adopted on 4 July 1776.",National Archives – Declaration of Independence,Y6-Y11,true
"Which ancient wonder of the world still exists today?","[""Hanging Gardens of Babylon"",""Colossus of Rhodes"",""Great Pyramid of Giza"",""Lighthouse of Alexandria""]",2,History,medium,"The Great Pyramid of Giza was built around 2560 BC and remained the world's tallest structure for 3,800 years.",UNESCO World Heritage Centre,Y6-Y11,true
"The Treaty of Westphalia (1648) ended which major European conflict?","[""The Hundred Years War"",""The Thirty Years War"",""The Crusades"",""The War of the Roses""]",1,History,hard,"The Treaty of Westphalia established the modern concept of nation-state sovereignty.",Encyclopaedia Britannica – Thirty Years War,Y6-Y11,true
"Which Chinese dynasty first unified China under one ruler in 221 BC?","[""Han"",""Ming"",""Tang"",""Qin""]",3,History,hard,"Qin Shi Huang became the first Emperor of China and ordered construction of the Great Wall.",National Museum of China,Y6-Y11,true
"Who wrote The Communist Manifesto alongside Friedrich Engels?","[""Vladimir Lenin"",""Leon Trotsky"",""Karl Marx"",""Mao Zedong""]",2,History,hard,"The Communist Manifesto was published in 1848 and ends with the famous words 'Workers of the world, unite!'",British Library – Karl Marx,Y6-Y11,true
"The Meiji Restoration of 1868 rapidly modernised which country?","[""China"",""Korea"",""Japan"",""Vietnam""]",2,History,hard,"The Meiji Restoration transformed Japan from a feudal society into a modern industrial nation within 50 years.",Encyclopaedia Britannica – Meiji Restoration,Y6-Y11,true
"Which pharaoh built the Great Pyramid of Giza?","[""Ramesses II"",""Tutankhamun"",""Khufu"",""Cleopatra""]",2,History,hard,"Khufu's pyramid was built with approximately 2.3 million stone blocks, each weighing 2.5–15 tonnes.",National Geographic – Pyramids,Y6-Y11,true
"The Magna Carta was signed in which year?","[""1066"",""1215"",""1348"",""1453""]",1,History,hard,"The Magna Carta limited the power of the English king and is a cornerstone of modern constitutional law.",British Library – Magna Carta,Y6-Y11,true
"What Cold War crisis in 1962 brought the USA and USSR closest to nuclear war?","[""Berlin Crisis"",""Cuban Missile Crisis"",""Korean War"",""Sputnik Crisis""]",1,History,hard,"The 13-day standoff in October 1962 ended when Soviet ships turned back and missiles were removed from Cuba.",JFK Presidential Library,Y6-Y11,true
"Which Mongol leader founded the largest contiguous land empire in history?","[""Kublai Khan"",""Tamerlane"",""Genghis Khan"",""Ogedei Khan""]",2,History,hard,"Genghis Khan united the Mongol tribes in 1206 and launched conquests across Asia and into Eastern Europe.",National Geographic – Genghis Khan,Y6-Y11,true
"In which year did the fall of Constantinople mark the end of the Byzantine Empire?","[""1389"",""1421"",""1453"",""1492""]",2,History,hard,"The Ottoman Sultan Mehmed II conquered Constantinople in 1453, ending 1,000 years of the Byzantine Empire.",Encyclopaedia Britannica – Fall of Constantinople,Y6-Y11,true
"The assassination of which Archduke triggered World War I?","[""Archduke Otto"",""Archduke Franz Ferdinand"",""Archduke Karl"",""Archduke Rudolf""]",1,History,hard,"Franz Ferdinand was assassinated in Sarajevo on 28 June 1914 by Gavrilo Princip.",BBC History – WWI Causes,Y6-Y11,true
"What is the longest river in the world?","[""Amazon"",""Congo"",""Mississippi"",""Nile""]",3,Geography,easy,"The Nile stretches 6,650 km through northeastern Africa and empties into the Mediterranean Sea.",National Geographic – Nile River,Y6-Y11,true
"On which continent is the Sahara Desert located?","[""Asia"",""Australia"",""South America"",""Africa""]",3,Geography,easy,"The Sahara is the world's largest hot desert, covering about 9 million km² across North Africa.",National Geographic – Sahara,Y6-Y11,true
"What is the capital city of Japan?","[""Osaka"",""Kyoto"",""Tokyo"",""Hiroshima""]",2,Geography,easy,"Tokyo is the world's most populous metropolitan area with over 37 million people.",JNTO – Tokyo,Y6-Y11,true
"Which is the smallest country in the world by area?","[""Monaco"",""San Marino"",""Liechtenstein"",""Vatican City""]",3,Geography,easy,"Vatican City covers just 0.44 km² inside Rome and is the headquarters of the Roman Catholic Church.",CIA World Factbook – Vatican City,Y6-Y11,true
"What is the largest ocean on Earth?","[""Atlantic"",""Indian"",""Arctic"",""Pacific""]",3,Geography,easy,"The Pacific Ocean covers more area than all of Earth's landmasses combined.",NOAA – Pacific Ocean,Y6-Y11,true
"Which mountain is the tallest in the world?","[""K2"",""Kangchenjunga"",""Mount Everest"",""Lhotse""]",2,Geography,easy,"Mount Everest stands 8,848.86 metres above sea level on the border of Nepal and Tibet.",National Geographic – Everest,Y6-Y11,true
"What is the capital city of Australia?","[""Sydney"",""Melbourne"",""Brisbane"",""Canberra""]",3,Geography,easy,"Many people guess Sydney or Melbourne, but Canberra was purpose-built as the capital in 1913.",Tourism Australia,Y6-Y11,true
"What is the name of the line that divides Earth into Northern and Southern hemispheres?","[""Prime Meridian"",""Tropic of Cancer"",""Equator"",""Arctic Circle""]",2,Geography,easy,"Countries on the equator include Ecuador, Kenya, Indonesia, and Colombia.",National Geographic – Equator,Y6-Y11,true
"Which country has the largest population in the world as of 2024?","[""USA"",""India"",""China"",""Russia""]",1,Geography,easy,"India surpassed China in 2023 to become the world's most populous country with over 1.4 billion people.",United Nations Population Fund,Y6-Y11,true
"On which continent is Brazil located?","[""Central America"",""North America"",""Africa"",""South America""]",3,Geography,easy,"Brazil is the largest country in South America and the fifth largest in the world.",CIA World Factbook – Brazil,Y6-Y11,true
"What is the name of the deepest lake in the world?","[""Lake Superior"",""Caspian Sea"",""Lake Baikal"",""Lake Tanganyika""]",2,Geography,medium,"Lake Baikal in Russia is 1,642 metres deep and contains about 20% of the world's surface fresh water.",UNESCO World Heritage – Baikal,Y6-Y11,true
"What is the body of water between Europe and North Africa?","[""Red Sea"",""Caspian Sea"",""Mediterranean Sea"",""Arabian Sea""]",2,Geography,medium,"The Mediterranean Sea was the centre of ancient civilisations including Greek, Roman, and Phoenician cultures.",National Geographic – Mediterranean,Y6-Y11,true
"What is the capital of Canada?","[""Toronto"",""Vancouver"",""Montreal"",""Ottawa""]",3,Geography,medium,"Ottawa became Canada's capital in 1857, chosen partly because of its location on the border of Ontario and Quebec.",Government of Canada,Y6-Y11,true
"Which African country has more ancient pyramids than Egypt?","[""Ethiopia"",""Libya"",""Sudan"",""Morocco""]",2,Geography,medium,"Sudan's Nubian pyramids, built by the ancient Kushite kingdoms, number over 200 — more than Egypt's 138.",National Geographic – Nubian Pyramids,Y6-Y11,true
"What is the capital of Brazil?","[""Rio de Janeiro"",""Sao Paulo"",""Salvador"",""Brasilia""]",3,Geography,medium,"Brasilia was purpose-built as Brazil's new capital and was inaugurated in 1960.",UNESCO World Heritage – Brasilia,Y6-Y11,true
"Which country has the longest coastline in the world?","[""Australia"",""USA"",""Norway"",""Canada""]",3,Geography,medium,"Canada's coastline is approximately 202,080 km long, including its many islands.",CIA World Factbook – Canada,Y6-Y11,true
"What is the name of the world's largest rainforest?","[""Congo Rainforest"",""Amazon Rainforest"",""Borneo Rainforest"",""Daintree Rainforest""]",1,Geography,medium,"The Amazon Rainforest produces about 20% of the world's oxygen and houses 10% of all species on Earth.",WWF – Amazon,Y6-Y11,true
"What is the Bosphorus?","[""A mountain range in Turkey"",""A strait dividing Europe and Asia at Istanbul"",""A river running through Eastern Europe"",""A desert in Central Asia""]",1,Geography,medium,"The Bosphorus is one of the world's most strategic waterways, connecting the Black Sea to the Marmara Sea.",Encyclopaedia Britannica – Bosphorus,Y6-Y11,true
"What is the name of the sea between Saudi Arabia and Africa?","[""Mediterranean Sea"",""Caspian Sea"",""Red Sea"",""Arabian Sea""]",2,Geography,medium,"The Red Sea gets its name from seasonal algae blooms that give the water a reddish tinge.",National Geographic – Red Sea,Y6-Y11,true
"Which country is both in Europe and Asia?","[""Georgia"",""Armenia"",""Turkey"",""Kazakhstan""]",2,Geography,medium,"Turkey straddles the Bosphorus strait; the city of Istanbul itself lies on both continents.",National Geographic – Turkey,Y6-Y11,true
"What is the name of the tectonic plate underlying most of the Pacific Ocean?","[""Pacific Plate"",""Nazca Plate"",""Indo-Australian Plate"",""Eurasian Plate""]",0,Geography,hard,"The Pacific Plate is the largest tectonic plate and is responsible for the Ring of Fire volcanic zone.",USGS – Plate Tectonics,Y6-Y11,true
"What is the name of the weather phenomenon where Pacific Ocean surface temperatures rise abnormally?","[""La Niña"",""El Niño"",""Monsoon"",""Trade Wind Effect""]",1,Geography,hard,"El Niño can cause droughts in Australia and Southeast Asia while bringing heavy rains to South America.",NOAA – El Niño,Y6-Y11,true
"Which mountain range is conventionally used to mark the boundary between Europe and Asia?","[""Alps"",""Carpathians"",""Ural Mountains"",""Caucasus""]",2,Geography,hard,"The Ural Mountains stretch 2,500 km from the Arctic Ocean to the Ural River in Russia.",Encyclopaedia Britannica – Ural Mountains,Y6-Y11,true
"What is the name of the world's largest river delta, located in Bangladesh and India?","[""Nile Delta"",""Ganges-Brahmaputra Delta"",""Amazon Delta"",""Niger Delta""]",1,Geography,hard,"The Sundarbans mangrove forest in the Ganges-Brahmaputra delta is the largest mangrove forest in the world.",UNESCO World Heritage – Sundarbans,Y6-Y11,true
"What is the name of the deepest point in all of Earth's oceans?","[""Puerto Rico Trench"",""Java Trench"",""Challenger Deep"",""Diamantina Trench""]",2,Geography,hard,"Challenger Deep in the Mariana Trench is about 11,034 metres below sea level — deeper than Everest is tall.",NOAA – Mariana Trench,Y6-Y11,true
"Which country has the most UNESCO World Heritage Sites?","[""France"",""China"",""Italy"",""Spain""]",2,Geography,hard,"Italy has 58 UNESCO World Heritage Sites as of 2023, more than any other country.",UNESCO World Heritage List,Y6-Y11,true
"What ocean current helps keep Western Europe warmer than its latitude would suggest?","[""California Current"",""Labrador Current"",""Gulf Stream"",""Humboldt Current""]",2,Geography,hard,"The Gulf Stream transports warm water from the Gulf of Mexico northeastward across the Atlantic.",NOAA – Gulf Stream,Y6-Y11,true
"What percentage of Earth's surface is covered by water?","[""51%"",""61%"",""71%"",""81%""]",2,Geography,hard,"Despite 71% water coverage, only 3% is freshwater, and two-thirds of that is frozen in glaciers.",USGS – Water Resources,Y6-Y11,true
"In which country was the Khmer Empire, which built Angkor Wat, based?","[""Vietnam"",""Thailand"",""Cambodia"",""Laos""]",2,Geography,hard,"Angkor Wat in Cambodia is the world's largest religious monument, built in the 12th century.",UNESCO World Heritage – Angkor,Y6-Y11,true
"How many planets are in our solar system?","[""7"",""8"",""9"",""10""]",1,Space,easy,"Pluto was reclassified as a dwarf planet in 2006 by the International Astronomical Union.",NASA – Our Solar System,Y6-Y11,true
"What is Earth's natural satellite called?","[""Phobos"",""Titan"",""Europa"",""The Moon""]",3,Space,easy,"The Moon is the fifth largest natural satellite in the solar system and the only one humans have visited.",NASA – The Moon,Y6-Y11,true
"Which planet is the largest in our solar system?","[""Saturn"",""Neptune"",""Uranus"",""Jupiter""]",3,Space,easy,"Jupiter is so large that all other planets in the solar system could fit inside it.",NASA – Jupiter,Y6-Y11,true
"What colour is Mars?","[""Blue"",""Green"",""Yellow"",""Red""]",3,Space,easy,"Mars appears red because its surface is covered in iron oxide, which is essentially rust.",NASA – Mars,Y6-Y11,true
"Which planet has the most famous ring system?","[""Mars"",""Venus"",""Mercury"",""Saturn""]",3,Space,easy,"Saturn's rings are made of billions of ice particles and rock fragments orbiting the planet.",NASA – Saturn,Y6-Y11,true
"What does NASA stand for?","[""North American Space Agency"",""National Aeronautics and Space Administration"",""National Astronomy and Space Association"",""New American Space Authority""]",1,Space,easy,"NASA was established in 1958 and has led missions including Apollo, the Space Shuttle, and Mars rovers.",NASA – About,Y6-Y11,true
"How long does it take Earth to orbit the Sun?","[""24 hours"",""28 days"",""365.25 days"",""10 years""]",2,Space,easy,"The 0.25 extra days each year is why we add a leap day every four years.",NASA – Earth's Motion,Y6-Y11,true
"What is a shooting star?","[""A dying star"",""A comet"",""A meteoroid burning up in Earth's atmosphere"",""A small planet""]",2,Space,easy,"Most meteors are tiny particles of dust that burn up completely before reaching the ground.",NASA – Meteors,Y6-Y11,true
"What is the star at the centre of our solar system?","[""Sirius"",""Alpha Centauri"",""Polaris"",""The Sun""]",3,Space,easy,"The Sun accounts for 99.86% of the total mass of the solar system.",NASA – The Sun,Y6-Y11,true
"What force keeps planets in orbit around the Sun?","[""Magnetism"",""Electrostatic force"",""Nuclear force"",""Gravity""]",3,Space,easy,"Gravity follows Newton's inverse square law — the further away, the weaker the gravitational pull.",Khan Academy – Gravity,Y6-Y11,true
"Which galaxy is on a collision course with the Milky Way?","[""Triangulum Galaxy"",""Whirlpool Galaxy"",""Andromeda Galaxy"",""Sombrero Galaxy""]",2,Space,medium,"Andromeda will collide with the Milky Way in about 4.5 billion years, forming a new elliptical galaxy.",NASA – Andromeda Collision,Y6-Y11,true
"What type of star is the Sun classified as?","[""Red giant"",""White dwarf"",""Yellow dwarf"",""Blue supergiant""]",2,Space,medium,"The Sun is a G-type main-sequence star about 4.6 billion years old, with another 5 billion years of life left.",NASA – Sun Facts,Y6-Y11,true
"What is the name of the boundary around a black hole beyond which nothing can escape?","[""Corona"",""Singularity"",""Event Horizon"",""Photon Sphere""]",2,Space,medium,"Beyond the event horizon, even light cannot escape — which is why black holes appear black.",NASA – Black Holes,Y6-Y11,true
"What is the rocky belt between Mars and Jupiter called?","[""Kuiper Belt"",""Oort Cloud"",""Asteroid Belt"",""Scattered Disc""]",2,Space,medium,"The Asteroid Belt contains millions of rocky bodies, but their total mass is less than Earth's Moon.",NASA – Asteroid Belt,Y6-Y11,true
"Which space telescope was launched in 1990 and revolutionised our view of the universe?","[""James Webb Telescope"",""Spitzer Space Telescope"",""Hubble Space Telescope"",""Chandra X-ray Observatory""]",2,Space,medium,"Hubble has made over 1.5 million observations and helped determine the age of the universe.",NASA – Hubble,Y6-Y11,true
"How many Earth days does Mars take to orbit the Sun?","[""365"",""465"",""587"",""687""]",3,Space,medium,"A year on Mars is 687 Earth days, so a Martian year is almost twice as long as an Earth year.",NASA – Mars Exploration,Y6-Y11,true
"What is Saturn's largest moon?","[""Titan"",""Enceladus"",""Rhea"",""Iapetus""]",0,Space,medium,"Titan has a thick atmosphere and liquid methane lakes, making it one of the most Earth-like bodies in our solar system.",NASA – Titan,Y6-Y11,true
"Which country launched the first human into space?","[""USA"",""China"",""Germany"",""USSR""]",3,Space,medium,"Yuri Gagarin of the Soviet Union became the first human in space on 12 April 1961.",NASA History – Yuri Gagarin,Y6-Y11,true
"What is a pulsar?","[""A type of comet"",""A rapidly rotating neutron star emitting radiation beams"",""A binary star system"",""A type of small black hole""]",1,Space,medium,"Pulsars rotate so fast that some complete over 700 rotations per second, acting like cosmic lighthouses.",NASA – Pulsars,Y6-Y11,true
"What is the asteroid that is considered the most likely to pass close to Earth in the next century?","[""Apophis"",""Ceres"",""Bennu"",""Vesta""]",0,Space,medium,"Apophis, discovered in 2004, will pass very close to Earth in 2029 but is not expected to impact us.",NASA Planetary Defense,Y6-Y11,true
"What is the Chandrasekhar limit?","[""Maximum mass of a white dwarf star"",""Minimum temperature of a star"",""Distance at which gravity becomes irrelevant"",""Speed of light in a medium""]",0,Space,hard,"Above 1.4 solar masses, a white dwarf will collapse into a neutron star or trigger a supernova.",Nobel Prize – Subrahmanyan Chandrasekhar,Y6-Y11,true
"What causes the redshift observed in light from distant galaxies?","[""The galaxies are cooling"",""The galaxies are moving away from us"",""Dust interference"",""Gravitational lensing""]",1,Space,hard,"Redshift is the Doppler effect for light — it is key evidence that the universe is expanding.",NASA – Hubble's Law,Y6-Y11,true
"Which Apollo mission first landed humans on the Moon?","[""Apollo 10"",""Apollo 11"",""Apollo 12"",""Gemini 12""]",1,Space,hard,"Apollo 11 landed on the Sea of Tranquility on 20 July 1969. Neil Armstrong and Buzz Aldrin walked on the surface.",NASA – Apollo 11,Y6-Y11,true
"What is the theoretical point of infinite density at the centre of a black hole?","[""Event horizon"",""Photon sphere"",""Singularity"",""Neutron core""]",2,Space,hard,"At the singularity, all known laws of physics break down. Its true nature remains one of science's greatest mysteries.",NASA – Black Holes,Y6-Y11,true
"How far is one light-year in kilometres (approximately)?","[""9.46 trillion km"",""1.5 billion km"",""150 million km"",""946 billion km""]",0,Space,hard,"A light-year is the distance light travels in one year — about 9,460,000,000,000 kilometres.",NASA – Light Year,Y6-Y11,true
"What percentage of the universe is estimated to be dark matter?","[""About 5%"",""About 27%"",""About 68%"",""About 95%""]",1,Space,hard,"Dark matter cannot be seen directly but its gravitational effects shape galaxies and large-scale structure.",NASA – Dark Matter,Y6-Y11,true
"What phenomenon occurs when a massive star exhausts its nuclear fuel and explodes?","[""Nova"",""Hypernova"",""Supernova"",""Gamma-ray burst""]",2,Space,hard,"A supernova can briefly outshine an entire galaxy and produce elements heavier than iron.",NASA – Supernovae,Y6-Y11,true
"What is the approximate age of the universe?","[""4.6 billion years"",""8.2 billion years"",""13.8 billion years"",""20 billion years""]",2,Space,hard,"Scientists calculated the 13.8 billion year age using the Cosmic Microwave Background radiation.",NASA – Age of the Universe,Y6-Y11,true
"Which of Kepler's laws states that a planet sweeps equal areas in equal times?","[""Kepler's First Law"",""Kepler's Second Law"",""Kepler's Third Law"",""Newton's Law of Gravitation""]",1,Space,hard,"Kepler's Second Law explains why planets move faster when closer to the Sun and slower when farther away.",Khan Academy – Kepler's Laws,Y6-Y11,true
"What is the name of the first artificial satellite launched into space in 1957?","[""Vostok 1"",""Sputnik 1"",""Luna 1"",""Cosmos 1""]",1,Space,hard,"Sputnik 1 was a polished metal sphere 58 cm in diameter that transmitted radio signals for three weeks.",NASA History – Sputnik,Y6-Y11,true
"How many players are on each side in a volleyball match?","[""4"",""5"",""6"",""7""]",2,Sports,easy,"A volleyball court is 18 metres long and 9 metres wide, divided by a net.",FIVB – Volleyball Rules,Y6-Y11,true
"In which sport do players use a shuttlecock?","[""Tennis"",""Table Tennis"",""Badminton"",""Squash""]",2,Sports,easy,"A shuttlecock can travel at speeds over 400 km/h in professional badminton — the fastest racket sport.",Badminton World Federation,Y6-Y11,true
"What is the term for scoring three goals in a single football match by one player?","[""Hat-trick"",""Turkey"",""Triple"",""Trifecta""]",0,Sports,easy,"The term hat-trick originally comes from cricket in the 1800s, where a bowler received a hat for taking 3 wickets.",FIFA,Y6-Y11,true
"How many holes are in a standard game of golf?","[""9"",""12"",""18"",""24""]",2,Sports,easy,"The 18-hole standard was set by St Andrews Golf Club in Scotland in 1858.",The R&A – Golf Rules,Y6-Y11,true
"How long is a standard marathon race?","[""36.2 km"",""40.2 km"",""42.195 km"",""45 km""]",2,Sports,easy,"The marathon distance was standardised in 1921. The current world record is just over 2 hours.",World Athletics,Y6-Y11,true
"How many players from each team are on a rugby union pitch?","[""13"",""14"",""15"",""16""]",2,Sports,easy,"Rugby league uses 13 players per team, while rugby union uses 15.",World Rugby,Y6-Y11,true
"In swimming, which stroke is typically the fastest?","[""Breaststroke"",""Backstroke"",""Butterfly"",""Freestyle""]",3,Sports,easy,"Freestyle (front crawl) is the fastest competitive stroke and is used in open-water swimming races.",World Aquatics,Y6-Y11,true
